// コマンド,x,y,z
POP,-12,0,100
POP,-10,0,100

POP,-2,0,100
POP,0,0,100
POP,2,0,100

POP,10,0,100
POP,12,0,100

///

POP,-12,0,200
POP,-10,0,200

POP,-2,0,200
POP,0,0,200
POP,2,0,200

POP,10,0,200
POP,12,0,200

///

POP,-6,0,300
POP,-4,0,300

POP,4,0,300
POP,6,0,300

///

POP,-6,0,400
POP,-4,0,400

POP,4,0,400
POP,6,0,400

///

POP,-12,0,500
POP,-10,0,500

POP,-2,0,500
POP,0,0,500
POP,2,0,500

PPOP,10,0,500
POP,12,0,500

///

POP,-6,0,600
POP,-4,0,600

POP,4,0,600
POP,6,0,600

///

POP,-12,0,700
POP,-10,0,700

POP,-2,0,700
POP,0,0,700
POP,2,0,700

POP,10,0,700
POP,12,0,700

POP,-6,0,800
POP,-4,0,800

POP,4,0,800
POP,6,0,800

POP,-12,0,900
POP,-10,0,900

POP,-2,0,900
POP,0,0,900
POP,2,0,900

POP,10,0,900
POP,12,0,900
