// コマンド,x,y,z
POP,-12,0,100
POP,-10,0,100
POP,-8,0,100
POP,-6,0,100
POP,-4,0,100
POP,-2,0,100

POP,12,0,200
POP,10,0,200
POP,8,0,200
POP,6,0,200
POP,4,0,200
POP,2,0,200

POP,-12,0,300
POP,-10,0,300
POP,-8,0,300
POP,-6,0,300
POP,-4,0,300
POP,-2,0,300

POP,-12,0,400
POP,-10,0,400
POP,-8,0,400
POP,-6,0,400
POP,-4,0,400
POP,-2,0,400

POP,16,0,500
POP,14,0,500
POP,12,0,500
POP,10,0,500
POP,8,0,500
POP,6,0,500
POP,-16,0,500
POP,-14,0,500
POP,-12,0,500
POP,-10,0,500
POP,-8,0,500
POP,-6,0,500

POP,-16,0,600
POP,-14,0,600
POP,-12,0,600
POP,-10,0,600
POP,-8,0,600
POP,-6,0,600
POP,-4,0,600
POP,-2,0,600
POP,16,0,600
POP,14,0,600
POP,12,0,600
POP,10,0,600
POP,8,0,600
POP,6,0,600

POP,-16,0,700
POP,-14,0,700
POP,-12,0,700
POP,-10,0,700
POP,-8,0,700
POP,-6,0,700
POP,16,0,700
POP,14,0,700
POP,12,0,700
POP,10,0,700
POP,8,0,700
POP,6,0,700
POP,4,0,700
POP,2,0,700

POP,-16,0,800
POP,-14,0,800
POP,-12,0,800
POP,-10,0,800
POP,-8,0,800
POP,-6,0,800
POP,-4,0,800
POP,-2,0,800
POP,16,0,800
POP,14,0,800
POP,6,0,800
POP,4,0,800
POP,2,0,800
POP,0,0,800

POP,-16,0,900
POP,-14,0,900
POP,-6,0,900
POP,-4,0,900
POP,-2,0,900
POP,16,0,900
POP,14,0,900
POP,12,0,900
POP,10,0,900
POP,8,0,900
POP,2,0,900
POP,0,0,900
